filename,type,D,d_max,V_in,V_ex,V_exc,epsilon
fluized_9.npz,Complex crater,125.0058697,-20.992,165030.4999,70554.06182,35001.99147,0.318651589
fluized_12.npz,Complex crater,135.2894094,-19.574,190327.4843,54739.1563,37457.43656,0.367340745
fluized_26.npz,Simple crater,200.3984547,-12.832,342406.4295,73894.4021,376130.8255,0.27542586
fluized_27.npz,Simple crater,209.6520981,-14.21,396285.6821,102621.1525,328940.5002,0.162929952
fluized_29.npz,Simple crater,210.611689,-12.92,375444.6209,99569.08569,308495.8464,0.230972811
fluized_31.npz,Simple crater,225.8789951,-11.616,344010.1547,131756.9396,313545.8625,0.201053582
fluized_35.npz,Simple crater,228.4727186,-14.968,445326.3484,194107.2877,297200.8744,0.114353989
fluized_39.npz,Complex crater,256.9471801,-17.962,550821.973,267100.5839,319478.5903,0.429069754
fluized_44.npz,Complex crater,248.1797747,-19.308,614034.0626,294496.5987,311123.6084,0.252674674
fluized_45.npz,Complex crater,244.758754,-19.054,640371.8443,270692.0482,299390.7912,0.175709534
